t,I
0.0,1
1.001001001001001,1
2.002002002002002,1
3.0030030030030033,1
4.004004004004004,1
5.005005005005005,1
6.0060060060060065,1
7.007007007007008,1
8.008008008008009,1
9.00900900900901,1
10.01001001001001,1
11.011011011011012,1
12.012012012012013,1
13.013013013013014,1
14.014014014014016,1
15.015015015015017,1
16.016016016016017,1
17.017017017017018,1
18.01801801801802,1
19.01901901901902,1
20.02002002002002,1
21.021021021021024,1
22.022022022022025,1
23.023023023023026,1
24.024024024024026,1
25.025025025025027,1
26.026026026026027,1
27.027027027027028,1
28.028028028028032,1
29.029029029029033,1
30.030030030030034,1
31.031031031031034,1
32.032032032032035,1
33.033033033033036,1
34.034034034034036,1
35.03503503503504,1
36.03603603603604,1
37.03703703703704,1
38.03803803803804,1
39.03903903903904,1
40.04004004004004,1
41.04104104104105,1
42.04204204204205,1
43.04304304304305,1
44.04404404404405,1
45.04504504504505,1
46.04604604604605,1
47.04704704704705,1
48.04804804804805,1
49.04904904904905,1
50.050050050050054,1
51.051051051051054,1
52.052052052052055,1
53.053053053053056,1
54.054054054054056,1
55.05505505505506,1
56.056056056056065,1
57.057057057057065,1
58.058058058058066,1
59.05905905905907,1
60.06006006006007,1
61.06106106106107,1
62.06206206206207,1
63.06306306306307,1
64.06406406406407,1
65.06506506506507,1
66.06606606606607,1
67.06706706706707,1
68.06806806806807,1
69.06906906906907,1
70.07007007007007,1
71.07107107107107,1
72.07207207207207,1
73.07307307307308,1
74.07407407407408,1
75.07507507507508,1
76.07607607607608,1
77.07707707707708,1
78.07807807807808,1
79.07907907907908,1
80.08008008008008,1
81.0810810810811,1
82.0820820820821,1
83.0830830830831,1
84.0840840840841,1
85.0850850850851,1
86.0860860860861,1
87.0870870870871,1
88.0880880880881,1
89.0890890890891,1
90.0900900900901,1
91.0910910910911,1
92.0920920920921,1
93.0930930930931,1
94.0940940940941,1
95.0950950950951,1
96.0960960960961,1
97.0970970970971,1
98.0980980980981,1
99.0990990990991,1
100.10010010010011,1
101.10110110110111,1
102.10210210210211,1
103.10310310310311,1
104.10410410410411,1
105.10510510510511,1
106.10610610610611,1
107.10710710710711,1
108.10810810810811,1
109.10910910910911,1
110.11011011011011,1
111.11111111111111,1
112.11211211211213,1
113.11311311311313,1
114.11411411411413,1
115.11511511511513,1
116.11611611611613,1
117.11711711711713,1
118.11811811811813,1
119.11911911911913,1
120.12012012012013,1
121.12112112112113,1
122.12212212212214,1
123.12312312312314,1
124.12412412412414,1
125.12512512512514,1
126.12612612612614,1
127.12712712712714,1
128.12812812812814,1
129.12912912912915,1
130.13013013013014,1
131.13113113113116,1
132.13213213213214,1
133.13313313313316,1
134.13413413413414,1
135.13513513513516,1
136.13613613613614,1
137.13713713713716,1
138.13813813813815,1
139.13913913913916,1
140.14014014014015,1
141.14114114114116,1
142.14214214214215,1
143.14314314314316,1
144.14414414414415,1
145.14514514514516,1
146.14614614614615,1
147.14714714714717,1
148.14814814814815,1
149.14914914914917,1
150.15015015015015,1
151.15115115115117,1
152.15215215215215,1
153.15315315315317,1
154.15415415415416,1
155.15515515515517,1
156.15615615615616,1
157.15715715715717,1
158.15815815815816,1
159.15915915915917,1
160.16016016016016,1
161.16116116116117,1
162.1621621621622,1
163.16316316316318,1
164.1641641641642,1
165.16516516516518,1
166.1661661661662,1
167.16716716716718,1
168.1681681681682,1
169.16916916916918,1
170.1701701701702,1
171.17117117117118,1
172.1721721721722,1
173.17317317317318,1
174.1741741741742,1
175.17517517517518,1
176.1761761761762,1
177.17717717717719,1
178.1781781781782,1
179.1791791791792,1
180.1801801801802,1
181.1811811811812,1
182.1821821821822,1
183.1831831831832,1
184.1841841841842,1
